sampleID_pangea,sampleID_imis,Campaign_pangea,Campaign_imis,Event_pangea,eventID_imis
OSD39_2014-06-19_0.1m_NPL022,OSD39_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD39_20140619T0500Z,OSD39_2014-06
OSD4_2014-06-20_0m_NE08,OSD4_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD4_20140620T0900Z ,OSD4_2014-06
OSD4_2014-06-20_0m_NPL022,OSD4_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD4_20140620T0900Z,OSD4_2014-06
OSD41_2014-06-21_1m_NPL022,OSD41_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD41_20140621T1840Z ,OSD41_2014-06
OSD42_2014-06-21_3m_NPL022,OSD42_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD42_20140621T1000Z ,OSD42_2014-06
OSD43_2014-06-21_0m_NE08,OSD43_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD43_20140621T1849Z ,OSD43_2014-06
OSD43_2014-06-21_0m_NPL022,OSD43_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD43_20140621T1849Z,OSD43_2014-06
OSD45_2014-06-22_0m_NPL022,OSD45_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD45_20140622T2130Z ,OSD45_2014-06
OSD46_2014-06-21_0m_NPL022,OSD46_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD46_20140621T2000Z ,OSD46_2014-06
OSD47_2014-06-21_0m_NPL022,OSD47_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD47_20140621T1256Z ,OSD47_2014-06
OSD48_2014-06-21_0m_NPL022,OSD48_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD48_20140621T0950Z ,OSD48_2014-06
OSD49_2014-06-21_2m_NE08,OSD49_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD49_20140621T0930Z ,OSD49_2014-06
OSD49_2014-06-21_2m_NPL022,OSD49_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD49_20140621T0930Z,OSD49_2014-06
OSD5_2014-06-19_1m_NPL022,OSD5_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD5_20140619T0515Z ,OSD5_2014-06
OSD5_2014-06-19_75m_NPL022,OSD5_2014-06_NPL022_2,OSD-Jun-2014,OSD2014,OSD5_20140619T1100Z ,OSD5_2014-06
OSD50_2014-06-20_0m_NPL022,OSD50_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD50_20140620T0709Z ,OSD50_2014-06
OSD51_2014-06-21_2m_NPL022,OSD51_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD51_20140621T1556Z ,OSD51_2014-06
OSD52_2014-06-21_1m_NPL022,OSD52_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD52_20140621T1007Z ,OSD52_2014-06
OSD53_2014-06-21_1m_NPL022,OSD53_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD53_20140621T0843Z ,OSD53_2014-06
OSD54_2014-06-21_1m_NE08,OSD54_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD54_20140621T1545Z ,OSD54_2014-06
OSD54_2014-06-21_1m_NPL022,OSD54_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD54_20140621T1545Z,OSD54_2014-06
OSD55_2014-06-21_1m_NE08,OSD55_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD55_20140621T1630Z ,OSD55_2014-06
OSD55_2014-06-21_1m_NPL022,OSD55_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD55_20140621T1630Z,OSD55_2014-06
OSD56_2014-06-24_0m_NPL022,OSD56_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD56_20140624T0720Z ,OSD56_2014-06
OSD57_2014-06-24_0m_NPL022,OSD57_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD57_20140624T0738Z ,OSD57_2014-06
OSD58_2014-06-21_1m_NPL022,OSD58_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD58_20140621T1530Z ,OSD58_2014-06
OSD6_2014-06-21_0m_NE08,OSD6_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD6_20140621T0930Z ,OSD6_2014-06
OSD6_2014-06-21_0m_NPL022,OSD6_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD6_20140621T0930Z,OSD6_2014-06
OSD60_2014-06-19_0.1m_NE08,OSD60_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD60_20140619T1545Z ,OSD60_2014-06
OSD60_2014-06-19_0.1m_NPL022,OSD60_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD60_20140619T1545Z,OSD60_2014-06
OSD61_2014-06-21_0.5m_NPL022,OSD61_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD61_20140621T2108Z ,OSD61_2014-06
OSD62_2014-06-21_0.2m_NPL022,OSD62_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD62_20140621T1000Z ,OSD62_2014-06
OSD63_2014-06-20_0m_NPL022,OSD63_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD63_20140620T1130Z ,OSD63_2014-06
OSD64_2014-06-21_1m_NPL022,OSD64_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD64_20140621T0930Z ,OSD64_2014-06
OSD65_2014-06-20_0.1m_NPL022,OSD65_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD65_20140620T2230Z ,OSD65_2014-06
OSD69_2014-06-21_0m_NPL022,OSD69_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD69_20140621T1508Z ,OSD69_2014-06
OSD7_2014-06-21_0.1m_NPL022,OSD7_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD7_20140621T2000Z ,OSD7_2014-06
